team_1,team_2,team_1_out,team_2_out,Team_1_win_%,Team_2_win_%,homeTeam,date,winner
Nuggets,Mavericks,"['Nikola Jokic', ' Collin Gillespie', ' Aaron Gordon', ' Ish Smith', ' Jamal Murray']","['Tyler Dorsey', ' McKinley Wright IV', ' Maxi Kleber', ' Jaden Hardy']",0.6,0.6,Mavericks,2022-11-18,Mavericks
Celtics,Pelicans,"['Marcus Smart', ' Mfiondu Kabengele', ' JD Davison', ' Danilo Gallinari', ' Robert Williams III']","['Dereon Seabron', ' Kira Lewis Jr.', ' E.J. Liddell', ' Zion Williamson']",0.8125,0.5625,Pelicans,2022-11-18,Celtics
Suns,Jazz,"['Cameron Johnson', ' Landry Shamet', ' Jae Crowder']","['Johnny Juzang', ' Ochai Agbaji', ' Leandro Bolmaro', ' Micah Potter', ' Rudy Gay']",0.6,0.6470588235294118,Jazz,2022-11-18,Jazz
Knicks,Warriors,"['Feron Hunt', ' Mitchell Robinson', ' Trevor Keels']","['Ty Jerome', ' Patrick Baldwin Jr.', ' Ryan Rollins', ' James Wiseman', ' Andre Iguodala']",0.5,0.4375,Warriors,2022-11-18,Warriors
Pistons,Lakers,"['Cade Cunningham', ' Isaiah Stewart', ' Buddy Boeheim']","['Scotty Pippen Jr.', ' Juan Toscano-Anderson', ' Max Christie', ' Cole Swider']",0.17647058823529413,0.2857142857142857,Lakers,2022-11-18,Lakers
Raptors,Hawks,"['Chris Boucher', ' Pascal Siakam', ' Gary Trent Jr.', ' Precious Achiuwa', ' Justin Champagnie']","['Jarrett Culver', ' Bogdan Bogdanovic', ' Tyrese Martin', ' Trent Forrest']",0.5294117647058824,0.625,Hawks,2022-11-19,Hawks
Magic,Pacers,"['Paolo Banchero', ' Moritz Wagner', ' Markelle Fultz', ' Jonathan Isaac', ' Cole Anthony']","['Chris Duarte', ' Kendall Brown', ' Daniel Theis', ' Trevelin Queen']",0.29411764705882354,0.6,Pacers,2022-11-19,Pacers
Timberwolves,76ers,"['Josh Minott', ' Luka Garza', ' Wendell Moore Jr.']","['Jaden Springer', ' Furkan Korkmaz', ' Tyrese Maxey', ' James Harden', ' Michael Foster Jr.']",0.5,0.5,76ers,2022-11-19,Timberwolves
Jazz,Trail Blazers,"['Johnny Juzang', ' Ochai Agbaji', ' Leandro Bolmaro', ' Micah Potter', ' Rudy Gay']","['Ibou Badji', ' Gary Payton II', ' Greg Brown III', ' John Butler Jr.']",0.6666666666666666,0.625,Trail Blazers,2022-11-19,Jazz
Spurs,Clippers,"['Blake Wesley', ' Devin Vassell', ' Romeo Langford', ' Zach Collins']","['Jason Preston', ' Brandon Boston Jr.', ' Moussa Diabate', ' Luke Kennard']",0.35294117647058826,0.5882352941176471,Clippers,2022-11-19,Clippers
Knicks,Suns,"['Cam Reddish', ' Feron Hunt', ' Trevor Keels']","['Cameron Johnson', ' Landry Shamet', ' Jae Crowder']",0.47058823529411764,0.625,Suns,2022-11-20,Suns
Hornets,Wizards,"['LaMelo Ball', ' Cody Martin']","['Delon Wright', ' Jordan Schakel', ' Rui Hachimura', ' Monte Morris']",0.2222222222222222,0.5882352941176471,Wizards,2022-11-20,Wizards
Pistons,Kings,"['Cade Cunningham', ' Isaiah Stewart', ' Saddiq Bey', ' Buddy Boeheim']","['Neemias Queta', ' Keon Ellis']",0.16666666666666666,0.6,Kings,2022-11-20,Kings
Grizzlies,Nets,"['Ziaire Williams', ' Jaren Jackson Jr.', ' Ja Morant', ' Desmond Bane', ' Danny Green', ' Kenneth Lofton Jr.']","['Nic Claxton', ' T.J. Warren', ' Alondes Williams']",0.5882352941176471,0.47058823529411764,Nets,2022-11-20,Nets
Heat,Cavaliers,"['Udonis Haslem', ' Victor Oladipo', ' Jimmy Butler', ' Tyler Herro', ' Omer Yurtseven']","['Ricky Rubio', ' Dean Wade', ' Dylan Windler', ' Kevin Love']",0.4117647058823529,0.625,Cavaliers,2022-11-20,Cavaliers
Warriors,Rockets,"['Patrick Baldwin Jr.', ' Ryan Rollins', ' James Wiseman', ' Andre Iguodala']","[""Jae'Sean Tate"", ' TyTy Washington Jr.', ' Darius Days', ' Trevor Hudgins', ' Bruno Fernando']",0.47058823529411764,0.17647058823529413,Rockets,2022-11-20,Warriors
Nuggets,Mavericks,"['Nikola Jokic', ' Collin Gillespie', ' Aaron Gordon', ' Ish Smith', ' Jamal Murray']","['Tyler Dorsey', ' McKinley Wright IV', ' Maxi Kleber']",0.625,0.5625,Mavericks,2022-11-20,Nuggets
Spurs,Lakers,"['Blake Wesley', ' Romeo Langford', ' Jakob Poeltl', ' Zach Collins']","['Scotty Pippen Jr.', ' Juan Toscano-Anderson', ' Max Christie', ' LeBron James', ' Cole Swider']",0.3333333333333333,0.3333333333333333,Lakers,2022-11-20,Lakers
Hawks,Cavaliers,"['Jarrett Culver', ' Bogdan Bogdanovic', "" De'Andre Hunter"", ' Tyrese Martin', ' Trent Forrest']","['Ricky Rubio', ' Dean Wade', ' Dylan Windler', ' Isaiah Mobley', ' Caris LeVert']",0.5882352941176471,0.6470588235294118,Cavaliers,2022-11-21,Cavaliers
Magic,Pacers,"['Paolo Banchero', ' Wendell Carter Jr.', ' Moritz Wagner', ' Markelle Fultz', ' Jonathan Isaac', ' Cole Anthony']","['Chris Duarte', ' Kendall Brown', ' Daniel Theis', ' Trevelin Queen']",0.2777777777777778,0.625,Pacers,2022-11-21,Pacers
Celtics,Bulls,"['Mfiondu Kabengele', ' JD Davison', ' Danilo Gallinari', ' Robert Williams III']","['Lonzo Ball', ' Malcolm Hill', ' Kostas Antetokounmpo', ' Marko Simonovic']",0.7647058823529411,0.4117647058823529,Bulls,2022-11-21,Bulls
Trail Blazers,Bucks,"['Ibou Badji', ' Keon Johnson', ' Gary Payton II', ' Greg Brown III']","['Joe Ingles', ' Khris Middleton', ' Wesley Matthews']",0.5882352941176471,0.75,Bucks,2022-11-21,Bucks
Heat,Timberwolves,"['Udonis Haslem', ' Victor Oladipo', ' Jimmy Butler', ' Tyler Herro', ' Omer Yurtseven']","['Luka Garza', ' A.J. Lawson']",0.3888888888888889,0.5294117647058824,Timberwolves,2022-11-21,Timberwolves
Warriors,Pelicans,"['Draymond Green', ' James Wiseman', ' Klay Thompson', ' Andre Iguodala', ' Stephen Curry']","['Dereon Seabron', ' Kira Lewis Jr.', ' E.J. Liddell', ' Trey Murphy III']",0.4444444444444444,0.5882352941176471,Pelicans,2022-11-21,Pelicans
Knicks,Thunder,"['Cam Reddish', ' Feron Hunt', ' Derrick Rose', ' Trevor Keels']","['Ousmane Dieng', ' Aleksej Pokusevski', ' Chet Holmgren']",0.5,0.4117647058823529,Thunder,2022-11-21,Knicks
Jazz,Clippers,"['Johnny Juzang', ' Ochai Agbaji', ' Leandro Bolmaro', ' Micah Potter', ' Mike Conley', ' Rudy Gay']","['Jason Preston', ' Brandon Boston Jr.', ' Paul George', ' Moussa Diabate', ' Luke Kennard']",0.631578947368421,0.6111111111111112,Clippers,2022-11-21,Clippers
Nets,76ers,"['Yuta Watanabe', ' T.J. Warren', ' Alondes Williams']","['Jaden Springer', ' Tyrese Maxey', ' Joel Embiid', ' James Harden']",0.4444444444444444,0.5294117647058824,76ers,2022-11-22,76ers
Kings,Grizzlies,"['Neemias Queta', ' Keon Ellis']","['Ziaire Williams', ' Desmond Bane', ' Danny Green', ' Vince Williams Jr.', ' Kenneth Lofton Jr.']",0.625,0.5555555555555556,Grizzlies,2022-11-22,Kings
Pistons,Nuggets,"['Buddy Boeheim', ' Cade Cunningham', ' Isaiah Stewart', ' Saddiq Bey']","['Collin Gillespie', ' Ish Smith', ' Peyton Watson', ' Jeff Green']",0.21052631578947367,0.5882352941176471,Nuggets,2022-11-22,Pistons
Lakers,Suns,"['Scotty Pippen Jr.', ' Juan Toscano-Anderson', ' LeBron James', ' Cole Swider', ' Max Christie']","['Cameron Johnson', ' Landry Shamet', ' Jae Crowder']",0.3125,0.6470588235294118,Suns,2022-11-22,Suns
76ers,Hornets,"['Jaden Springer', ' Tyrese Maxey', ' Joel Embiid', ' James Harden', ' Saben Lee']","['LaMelo Ball', ' Cody Martin']",0.5,0.2631578947368421,Hornets,2022-11-23,Hornets
Trail Blazers,Cavaliers,"['Ibou Badji', ' Keon Johnson', ' Gary Payton II', ' Greg Brown III']","['Ricky Rubio', ' Dylan Windler', ' Mamadi Diakite', ' Kevin Love', ' Caris LeVert']",0.5555555555555556,0.6666666666666666,Cavaliers,2022-11-23,Cavaliers
Timberwolves,Pacers,"['A.J. Lawson', ' Jordan McLaughlin']","['Chris Duarte', ' Daniel Theis', ' Trevelin Queen']",0.5555555555555556,0.5882352941176471,Pacers,2022-11-23,Timberwolves
Kings,Hawks,"['Neemias Queta', ' Chima Moneke']","['Jarrett Culver', ' Bogdan Bogdanovic', ' Tyrese Martin']",0.5882352941176471,0.6111111111111112,Hawks,2022-11-23,Hawks
Mavericks,Celtics,"['Jaden Hardy', ' Tyler Dorsey', ' McKinley Wright IV', ' Maxi Kleber']","['Danilo Gallinari', ' JD Davison', ' Robert Williams III']",0.5294117647058824,0.7777777777777778,Celtics,2022-11-23,Celtics
Wizards,Heat,"['Bradley Beal', ' Delon Wright', ' Rui Hachimura', ' Monte Morris']","['Duncan Robinson', ' Max Strus', ' Victor Oladipo', ' Jimmy Butler', ' Omer Yurtseven']",0.5555555555555556,0.42105263157894735,Heat,2022-11-23,Heat
Nets,Raptors,"['Yuta Watanabe', ' Seth Curry', ' T.J. Warren', ' Alondes Williams']","['Pascal Siakam', ' Precious Achiuwa', ' Scottie Barnes', ' Fred VanVleet', ' Otto Porter Jr.']",0.47368421052631576,0.5,Raptors,2022-11-23,Nets
Bulls,Bucks,"['Lonzo Ball', ' Goran Dragic']","['Joe Ingles', ' Khris Middleton']",0.4444444444444444,0.7058823529411765,Bucks,2022-11-23,Bulls
Nuggets,Thunder,"['Michael Porter Jr.', ' Bones Hyland', ' Collin Gillespie', ' Jamal Murray', ' Peyton Watson', ' Jeff Green']","['Jaylin Williams', ' Ousmane Dieng', ' Lindy Waters III', ' Chet Holmgren', ' Mike Muscala']",0.6111111111111112,0.3888888888888889,Thunder,2022-11-23,Nuggets
Pelicans,Spurs,"['Dereon Seabron', ' Kira Lewis Jr.', ' CJ McCollum', ' E.J. Liddell', ' Trey Murphy III']","['Blake Wesley', ' Josh Richardson', ' Dominick Barlow', ' Malaki Branham', ' Zach Collins']",0.6111111111111112,0.3157894736842105,Spurs,2022-11-23,Pelicans
Pistons,Jazz,"['Buddy Boeheim', ' Cade Cunningham', ' Isaiah Stewart', ' Saddiq Bey']","['Johnny Juzang', ' Leandro Bolmaro', ' Micah Potter', ' Mike Conley', ' Rudy Gay']",0.25,0.6,Jazz,2022-11-23,Pistons
Clippers,Warriors,"['Jason Preston', ' Brandon Boston Jr.', ' Paul George', ' Moussa Diabate', ' Kawhi Leonard']","['Ty Jerome', ' James Wiseman', ' Andre Iguodala']",0.5789473684210527,0.47368421052631576,Warriors,2022-11-23,Warriors
Timberwolves,Hornets,"['Josh Minott', ' Luka Garza', ' Taurean Prince', ' A.J. Lawson', ' Jordan McLaughlin']","['Dennis Smith Jr.', ' Gordon Hayward', ' LaMelo Ball', ' Cody Martin']",0.5263157894736842,0.3,Hornets,2022-11-25,Hornets
76ers,Magic,"['Jaden Springer', ' Tyrese Maxey', ' Matisse Thybulle', ' Joel Embiid', ' James Harden']","['Markelle Fultz', ' Wendell Carter Jr.', ' Jonathan Isaac', ' Cole Anthony', ' Chuma Okeke']",0.5263157894736842,0.2631578947368421,Magic,2022-11-25,76ers
Trail Blazers,Knicks,"['Drew Eubanks', ' Keon Johnson', ' Gary Payton II', ' Greg Brown III']","['Cam Reddish', ' Feron Hunt', ' Derrick Rose', ' Trevor Keels']",0.5789473684210527,0.47368421052631576,Knicks,2022-11-25,Trail Blazers
Kings,Celtics,"['Neemias Queta', ' Chima Moneke', ' Keon Ellis']","['Danilo Gallinari', ' Robert Williams III']",0.5555555555555556,0.7894736842105263,Celtics,2022-11-25,Celtics
Nets,Pacers,"['Yuta Watanabe', ' T.J. Warren', ' Alondes Williams']","['Chris Duarte', ' Kendall Brown', ' Daniel Theis', ' Trevelin Queen']",0.45,0.6111111111111112,Pacers,2022-11-25,Pacers
Wizards,Heat,"['Delon Wright', ' Johnny Davis', ' Rui Hachimura', ' Monte Morris']","['Duncan Robinson', ' Max Strus', ' Victor Oladipo', ' Orlando Robinson', ' Jimmy Butler', ' Omer Yurtseven']",0.5263157894736842,0.45,Heat,2022-11-25,Heat
Hawks,Rockets,"['Bogdan Bogdanovic', ' Clint Capela', ' Tyrese Martin', ' Trent Forrest']","[""Jae'Sean Tate"", ' Alperen Sengun', ' TyTy Washington Jr.', ' Darius Days', ' Trevor Hudgins', ' Eric Gordon']",0.5789473684210527,0.2222222222222222,Rockets,2022-11-25,Rockets
Pelicans,Grizzlies,"['Dereon Seabron', ' Kira Lewis Jr.', ' CJ McCollum', ' E.J. Liddell']","['Ziaire Williams', ' Xavier Tillman', ' Desmond Bane', ' Santi Aldama', ' Danny Green']",0.5789473684210527,0.5789473684210527,Grizzlies,2022-11-25,Grizzlies
Cavaliers,Bucks,"['Ricky Rubio', ' Dylan Windler', ' Kevin Love', ' Lamar Stevens', ' Caris LeVert']","['Joe Ingles', ' Pat Connaughton', ' Serge Ibaka', ' Khris Middleton']",0.631578947368421,0.7222222222222222,Bucks,2022-11-25,Bucks
Bulls,Thunder,"['Lonzo Ball', ' Kostas Antetokounmpo', ' Marko Simonovic']","['Jaylin Williams', ' Ousmane Dieng', ' Mike Muscala', ' Lindy Waters III', ' Chet Holmgren']",0.42105263157894735,0.42105263157894735,Thunder,2022-11-25,Thunder
Lakers,Spurs,"['Scotty Pippen Jr.', ' Cole Swider']","['Blake Wesley', ' Josh Richardson', ' Dominick Barlow', ' Doug McDermott']",0.35294117647058826,0.3,Spurs,2022-11-25,Lakers
Pistons,Suns,"['Buddy Boeheim', ' Cade Cunningham', ' Isaiah Stewart', ' Saddiq Bey', ' Cory Joseph']","['Cameron Johnson', ' Landry Shamet', ' Jae Crowder']",0.23809523809523808,0.6666666666666666,Suns,2022-11-25,Suns
Jazz,Warriors,"['Johnny Juzang', ' Leandro Bolmaro', ' Micah Potter', ' Mike Conley', ' Rudy Gay']","['Patrick Baldwin Jr.', ' Ryan Rollins', ' James Wiseman', ' Andre Iguodala']",0.5714285714285714,0.5,Warriors,2022-11-25,Warriors
Nuggets,Clippers,"['Michael Porter Jr.', ' Bones Hyland', ' Collin Gillespie', ' Jeff Green']","['Jason Preston', ' Brandon Boston Jr.', ' Paul George', ' Moussa Diabate', ' Kawhi Leonard']",0.631578947368421,0.55,Clippers,2022-11-25,Nuggets
Mavericks,Raptors,"['Tyler Dorsey', ' McKinley Wright IV', ' Jaden Hardy']","['Pascal Siakam', ' Precious Achiuwa', ' Dalano Banton', ' Scottie Barnes', ' Otto Porter Jr.']",0.5,0.5263157894736842,Raptors,2022-11-26,Raptors
Thunder,Rockets,"['Jaylin Williams', ' Mike Muscala', ' Lindy Waters III', ' Chet Holmgren', ' Eugene Omoruyi']","[""Jae'Sean Tate"", ' TyTy Washington Jr.', ' Darius Days', ' Trevor Hudgins', ' Bruno Fernando']",0.4,0.2631578947368421,Rockets,2022-11-26,Rockets
Lakers,Spurs,"['Scotty Pippen Jr.', ' Anthony Davis', ' Cole Swider']","['Blake Wesley', ' Josh Richardson', ' Dominick Barlow', ' Keita Bates-Diop']",0.3888888888888889,0.2857142857142857,Spurs,2022-11-26,Lakers
Jazz,Suns,"['Johnny Juzang', ' Leandro Bolmaro', ' Micah Potter', ' Mike Conley', ' Rudy Gay']","['Chris Paul', ' Cameron Johnson', ' Jae Crowder']",0.5454545454545454,0.6842105263157895,Suns,2022-11-26,Suns
Trail Blazers,Nets,"['Ibou Badji', ' Keon Johnson', ' Gary Payton II', ' Greg Brown III']","['Yuta Watanabe', ' T.J. Warren', ' Alondes Williams', ' David Duke Jr.']",0.55,0.47619047619047616,Nets,2022-11-27,Nets
Warriors,Timberwolves,"['Ty Jerome', ' Patrick Baldwin Jr.', ' Ryan Rollins', ' James Wiseman', ' Andre Iguodala']","['Josh Minott', ' Luka Garza', ' Taurean Prince', ' A.J. Lawson', ' Jordan McLaughlin', ' Jaden McDaniels']",0.5238095238095238,0.5,Timberwolves,2022-11-27,Warriors
Pacers,Clippers,"['Chris Duarte', ' Trevelin Queen', ' Daniel Theis']","['Jason Preston', ' Brandon Boston Jr.', ' Paul George', ' Moussa Diabate', ' Kawhi Leonard']",0.5789473684210527,0.5714285714285714,Clippers,2022-11-27,Clippers
Heat,Hawks,"['Duncan Robinson', ' Jimmy Butler', ' Orlando Robinson', ' Victor Oladipo', ' Omer Yurtseven']","['Jarrett Culver', ' Bogdan Bogdanovic', ' Tyrese Martin']",0.47619047619047616,0.55,Hawks,2022-11-27,Heat
Wizards,Celtics,"['Delon Wright', ' Johnny Davis', ' Kyle Kuzma', ' Vernon Carey Jr.', ' Rui Hachimura', ' Isaiah Todd']","['Jayson Tatum', ' Mfiondu Kabengele', ' JD Davison', ' Danilo Gallinari', ' Robert Williams III']",0.5,0.8,Celtics,2022-11-27,Celtics
Cavaliers,Pistons,"['Kevin Love', ' Lamar Stevens', ' Dylan Windler', ' Ricky Rubio', ' Jarrett Allen']","['Cade Cunningham', ' Jaden Ivey', ' Buddy Boeheim', ' Isaiah Stewart', ' Bojan Bogdanovic']",0.65,0.22727272727272727,Pistons,2022-11-27,Cavaliers
Grizzlies,Knicks,"['Ziaire Williams', ' Desmond Bane', ' Danny Green', ' Vince Williams Jr.']","['Feron Hunt', ' Trevor Keels']",0.6,0.45,Knicks,2022-11-27,Grizzlies
76ers,Magic,"['Jaden Springer', ' Tyrese Maxey', ' Matisse Thybulle', ' Joel Embiid', ' James Harden']","['Markelle Fultz', ' Wendell Carter Jr.', ' Jalen Suggs', ' Jonathan Isaac', ' Cole Anthony', ' Chuma Okeke']",0.55,0.25,Magic,2022-11-27,76ers
Mavericks,Bucks,"['Tyler Dorsey', ' McKinley Wright IV', ' Reggie Bullock', ' Jaden Hardy']","['Joe Ingles', ' Khris Middleton', ' Serge Ibaka']",0.47368421052631576,0.7368421052631579,Bucks,2022-11-27,Bucks
Hawks,76ers,"['Jalen Johnson', ' Bogdan Bogdanovic', ' Tyrese Martin']","['Jaden Springer', ' Tyrese Maxey', ' James Harden']",0.5238095238095238,0.5714285714285714,76ers,2022-11-28,76ers
Timberwolves,Wizards,"['Jaden McDaniels', ' Taurean Prince', ' A.J. Lawson', ' Jordan McLaughlin', ' Luka Garza']","['Delon Wright', ' Rui Hachimura']",0.47619047619047616,0.5238095238095238,Wizards,2022-11-28,Wizards
Hornets,Celtics,"['Gordon Hayward', ' LaMelo Ball', ' Mark Williams', ' Cody Martin', ' JT Thor']","['Al Horford', ' JD Davison', ' Danilo Gallinari', ' Jaylen Brown', ' Robert Williams III']",0.2857142857142857,0.8095238095238095,Celtics,2022-11-28,Celtics
Magic,Nets,"['Markelle Fultz', ' Wendell Carter Jr.', ' Jalen Suggs', ' Jonathan Isaac', ' Terrence Ross', ' Cole Anthony']","['Yuta Watanabe', ' T.J. Warren', ' Alondes Williams', ' David Duke Jr.']",0.23809523809523808,0.5,Nets,2022-11-28,Nets
Cavaliers,Raptors,"['Ricky Rubio', ' Dylan Windler', ' Mamadi Diakite', ' Kevin Love', ' Lamar Stevens']","['Precious Achiuwa', ' Otto Porter Jr.']",0.6190476190476191,0.55,Raptors,2022-11-28,Raptors
Thunder,Pelicans,"['Jaylin Williams', ' Mike Muscala', ' Lindy Waters III', ' Chet Holmgren', ' Eugene Omoruyi']","['Brandon Ingram', ' CJ McCollum', ' Naji Marshall', ' E.J. Liddell', ' Larry Nance Jr.']",0.38095238095238093,0.6,Pelicans,2022-11-28,Pelicans
Rockets,Nuggets,"[""Jae'Sean Tate"", ' TyTy Washington Jr.', ' Darius Days', ' Trevor Hudgins']","['Michael Porter Jr.', ' Bones Hyland', ' Collin Gillespie', ' Peyton Watson', ' Jeff Green']",0.25,0.65,Nuggets,2022-11-28,Nuggets
Bulls,Jazz,"['Lonzo Ball', ' Malcolm Hill', ' Kostas Antetokounmpo', ' Marko Simonovic']","['Johnny Juzang', ' Leandro Bolmaro', ' Mike Conley', ' Rudy Gay', ' Micah Potter']",0.45,0.5217391304347826,Jazz,2022-11-28,Bulls
Suns,Kings,"['Chris Paul', ' Cameron Johnson', ' Jae Crowder']","['Trey Lyles', ' Chima Moneke']",0.7,0.5263157894736842,Kings,2022-11-28,Suns
Pacers,Lakers,"['Chris Duarte', ' Daniel Theis', ' Trevelin Queen']","['Scotty Pippen Jr.', ' Cole Swider']",0.6,0.3684210526315789,Lakers,2022-11-28,Pacers
Knicks,Pistons,['Trevor Keels'],"['Jaden Ivey', ' Cade Cunningham', ' Nerlens Noel', ' Braxton Key', ' Buddy Boeheim']",0.47619047619047616,0.21739130434782608,Pistons,2022-11-29,Knicks
Warriors,Mavericks,"['Ty Jerome', ' Patrick Baldwin Jr.', ' Ryan Rollins', ' James Wiseman', ' Andre Iguodala']","['Tyler Dorsey', ' McKinley Wright IV', ' Kemba Walker']",0.5,0.5,Mavericks,2022-11-29,Mavericks
Clippers,Trail Blazers,"['Brandon Boston Jr.', ' Paul George', ' Kawhi Leonard', ' Luke Kennard', ' John Wall']","['Ibou Badji', ' Keon Johnson', ' Gary Payton II', ' John Butler Jr.']",0.5909090909090909,0.5238095238095238,Trail Blazers,2022-11-29,Clippers
76ers,Cavaliers,"['Jaden Springer', ' Tyrese Maxey', ' Julian Champagnie', ' James Harden']","['Ricky Rubio', ' Dylan Windler', ' Kevin Love', ' Lamar Stevens', ' Isaiah Mobley']",0.5454545454545454,0.6363636363636364,Cavaliers,2022-11-30,Cavaliers
Hawks,Magic,"['Jalen Johnson', ' Bogdan Bogdanovic', ' Tyrese Martin', ' Justin Holiday']","['Wendell Carter Jr.', ' Jalen Suggs', ' Jonathan Isaac', ' Chuma Okeke', ' Mo Bamba']",0.5454545454545454,0.22727272727272727,Magic,2022-11-30,Hawks
Heat,Celtics,"['Victor Oladipo', ' Jimmy Butler', ' Dewayne Dedmon', ' Omer Yurtseven']","['JD Davison', ' Danilo Gallinari', ' Robert Williams III']",0.45454545454545453,0.8181818181818182,Celtics,2022-11-30,Celtics
Wizards,Nets,"['Johnny Davis', ' Devon Dotson', ' Rui Hachimura', ' Vernon Carey Jr.', ' Isaiah Todd', ' Delon Wright']","['T.J. Warren', ' Ben Simmons', ' Yuta Watanabe', "" Day'Ron Sharpe"", ' Alondes Williams']",0.5,0.5217391304347826,Nets,2022-11-30,Nets
Bucks,Knicks,"['Joe Ingles', ' MarJon Beauchamp', ' Sandro Mamukelashvili', ' Khris Middleton', ' Serge Ibaka']","['DaQuan Jeffries', ' Ryan Arcidiacono', ' Trevor Keels']",0.75,0.45454545454545453,Knicks,2022-11-30,Bucks
Grizzlies,Timberwolves,"['Ziaire Williams', ' Desmond Bane', ' Danny Green', ' Jake LaRavia']","['Karl-Anthony Towns', ' Taurean Prince', ' Jordan McLaughlin']",0.5714285714285714,0.5,Timberwolves,2022-11-30,Timberwolves
Raptors,Pelicans,"['Ron Harper Jr.', ' Otto Porter Jr.', ' Justin Champagnie', ' Precious Achiuwa']","['Brandon Ingram', ' CJ McCollum', ' Naji Marshall', ' E.J. Liddell']",0.5238095238095238,0.6190476190476191,Pelicans,2022-11-30,Pelicans
Spurs,Thunder,"['Blake Wesley', ' Josh Richardson', ' Dominick Barlow', ' Jeremy Sochan', ' Jakob Poeltl']","['Shai Gilgeous-Alexander', ' Jaylin Williams', ' Mike Muscala', ' Lindy Waters III', ' Chet Holmgren', ' Eugene Omoruyi']",0.2727272727272727,0.4090909090909091,Thunder,2022-11-30,Thunder
Rockets,Nuggets,"[""Jae'Sean Tate"", ' TyTy Washington Jr.', ' Darius Days', ' Trevor Hudgins']","['Michael Porter Jr.', ' Collin Gillespie', ' Peyton Watson', ' Jeff Green']",0.23809523809523808,0.6666666666666666,Nuggets,2022-11-30,Nuggets
Bulls,Suns,"['Lonzo Ball', ' Malcolm Hill', ' Kostas Antetokounmpo', ' Marko Simonovic']","['Cameron Johnson', ' Chris Paul', ' Jae Crowder']",0.42857142857142855,0.7142857142857143,Suns,2022-11-30,Suns
Clippers,Jazz,"['Paul George', ' Kawhi Leonard', ' Luke Kennard', ' Norman Powell']","['Johnny Juzang', ' Micah Potter', ' Mike Conley', ' Rudy Gay']",0.5652173913043478,0.5416666666666666,Jazz,2022-11-30,Jazz
Pacers,Kings,"['Chris Duarte', ' Kendall Brown', ' Daniel Theis', ' Trevelin Queen']","['Trey Lyles', ' Neemias Queta', ' Chima Moneke', ' Keon Ellis']",0.5714285714285714,0.55,Kings,2022-11-30,Kings
Trail Blazers,Lakers,"['Ibou Badji', ' Gary Payton II', ' Nassir Little', ' Josh Hart']","['Scotty Pippen Jr.', ' Cole Swider']",0.5,0.4,Lakers,2022-11-30,Lakers
Mavericks,Pistons,"['Tyler Dorsey', ' McKinley Wright IV', ' Kemba Walker']","['Buddy Boeheim', ' Cade Cunningham', ' Braxton Key']",0.47619047619047616,0.25,Pistons,2022-12-01,Pistons
Wizards,Hornets,"['Devon Dotson', ' Delon Wright', ' Johnny Davis', ' Vernon Carey Jr.', ' Rui Hachimura', ' Isaiah Todd']","['Gordon Hayward', ' LaMelo Ball', ' Mark Williams', ' Cody Martin', ' JT Thor']",0.4782608695652174,0.3181818181818182,Hornets,2022-12-02,Hornets
Nuggets,Hawks,"['Michael Porter Jr.', ' Collin Gillespie', ' Peyton Watson', ' Jeff Green']","['John Collins', "" De'Andre Hunter"", ' Trent Forrest', ' Justin Holiday']",0.6363636363636364,0.5652173913043478,Hawks,2022-12-02,Hawks
Heat,Celtics,"['Victor Oladipo', ' Jamal Cain', ' Omer Yurtseven']","['JD Davison', ' Danilo Gallinari', ' Robert Williams III']",0.4782608695652174,0.782608695652174,Celtics,2022-12-02,Heat
Raptors,Nets,"['Ron Harper Jr.', ' Jeff Dowtin Jr.', ' Precious Achiuwa', ' Otto Porter Jr.', ' Justin Champagnie']","['Ben Simmons', ' Yuta Watanabe', ' Alondes Williams', ' David Duke Jr.']",0.5,0.5416666666666666,Nets,2022-12-02,Nets
Magic,Cavaliers,"['Wendell Carter Jr.', ' Gary Harris', ' Jalen Suggs', ' Jonathan Isaac', ' Chuma Okeke', ' Mo Bamba']","['Jarrett Allen', ' Ricky Rubio', ' Dylan Windler', ' Isaiah Mobley']",0.21739130434782608,0.6521739130434783,Cavaliers,2022-12-02,Cavaliers
Lakers,Bucks,"['Scotty Pippen Jr.', ' Dennis Schroder', ' Cole Swider']","['Joe Ingles', ' Sandro Mamukelashvili', ' MarJon Beauchamp', ' Serge Ibaka']",0.42857142857142855,0.7142857142857143,Bucks,2022-12-02,Lakers
76ers,Grizzlies,"['Jaden Springer', ' Tyrese Maxey', ' Julian Champagnie', ' James Harden']","['Ziaire Williams', ' Desmond Bane', ' Danny Green', ' Vince Williams Jr.', ' Jake LaRavia']",0.5217391304347826,0.5909090909090909,Grizzlies,2022-12-02,Grizzlies
Pelicans,Spurs,"['Dereon Seabron', ' Kira Lewis Jr.', ' Brandon Ingram', ' Herbert Jones', ' E.J. Liddell']","['Blake Wesley', ' Josh Richardson', ' Dominick Barlow', ' Jeremy Sochan', ' Jakob Poeltl', ' Doug McDermott']",0.6363636363636364,0.2608695652173913,Spurs,2022-12-02,Pelicans
Rockets,Suns,"[""Jae'Sean Tate"", ' TyTy Washington Jr.', ' Darius Days', ' Trevor Hudgins']","['Cameron Johnson', ' Chris Paul', ' Torrey Craig', ' Jae Crowder']",0.2727272727272727,0.6818181818181818,Suns,2022-12-02,Rockets
